clip_id,path,label,speaker,session,ai_speaking_offset_sec,overlap_sec,preceding_silence_sec,notes
syn_hesitation_0045,synthetic/syn_hesitation_0045.wav,hesitation,synthetic,synthetic-v1,0.058,0.561,0.012,auto-generated; not a substitute for real recordings
syn_hesitation_0046,synthetic/syn_hesitation_0046.wav,hesitation,synthetic,synthetic-v1,0.064,0.516,0.225,auto-generated; not a substitute for real recordings
syn_hesitation_0047,synthetic/syn_hesitation_0047.wav,hesitation,synthetic,synthetic-v1,0.065,0.536,0.137,auto-generated; not a substitute for real recordings
syn_hesitation_0048,synthetic/syn_hesitation_0048.wav,hesitation,synthetic,synthetic-v1,0.211,0.149,0.108,auto-generated; not a substitute for real recordings
syn_hesitation_0049,synthetic/syn_hesitation_0049.wav,hesitation,synthetic,synthetic-v1,0.119,0.439,0.312,auto-generated; not a substitute for real recordings
syn_hesitation_0050,synthetic/syn_hesitation_0050.wav,hesitation,synthetic,synthetic-v1,0.163,0.318,0.180,auto-generated; not a substitute for real recordings
syn_hesitation_0051,synthetic/syn_hesitation_0051.wav,hesitation,synthetic,synthetic-v1,0.161,0.249,0.335,auto-generated; not a substitute for real recordings
syn_hesitation_0052,synthetic/syn_hesitation_0052.wav,hesitation,synthetic,synthetic-v1,0.001,0.265,0.350,auto-generated; not a substitute for real recordings
syn_hesitation_0053,synthetic/syn_hesitation_0053.wav,hesitation,synthetic,synthetic-v1,0.267,0.165,0.220,auto-generated; not a substitute for real recordings
syn_hesitation_0054,synthetic/syn_hesitation_0054.wav,hesitation,synthetic,synthetic-v1,0.091,0.509,0.352,auto-generated; not a substitute for real recordings
syn_hesitation_0055,synthetic/syn_hesitation_0055.wav,hesitation,synthetic,synthetic-v1,0.136,0.298,0.485,auto-generated; not a substitute for real recordings
syn_hesitation_0056,synthetic/syn_hesitation_0056.wav,hesitation,synthetic,synthetic-v1,0.009,0.186,0.056,auto-generated; not a substitute for real recordings
syn_hesitation_0057,synthetic/syn_hesitation_0057.wav,hesitation,synthetic,synthetic-v1,0.142,0.270,0.150,auto-generated; not a substitute for real recordings
syn_hesitation_0058,synthetic/syn_hesitation_0058.wav,hesitation,synthetic,synthetic-v1,0.130,0.152,0.163,auto-generated; not a substitute for real recordings
syn_hesitation_0059,synthetic/syn_hesitation_0059.wav,hesitation,synthetic,synthetic-v1,0.290,0.599,0.229,auto-generated; not a substitute for real recordings
syn_hesitation_0060,synthetic/syn_hesitation_0060.wav,hesitation,synthetic,synthetic-v1,0.004,0.367,0.087,auto-generated; not a substitute for real recordings
syn_hesitation_0061,synthetic/syn_hesitation_0061.wav,hesitation,synthetic,synthetic-v1,0.279,0.112,0.309,auto-generated; not a substitute for real recordings
syn_hesitation_0062,synthetic/syn_hesitation_0062.wav,hesitation,synthetic,synthetic-v1,0.077,0.454,0.101,auto-generated; not a substitute for real recordings
syn_hesitation_0063,synthetic/syn_hesitation_0063.wav,hesitation,synthetic,synthetic-v1,0.278,0.121,0.196,auto-generated; not a substitute for real recordings
syn_hesitation_0064,synthetic/syn_hesitation_0064.wav,hesitation,synthetic,synthetic-v1,0.191,0.134,0.035,auto-generated; not a substitute for real recordings
syn_hesitation_0065,synthetic/syn_hesitation_0065.wav,hesitation,synthetic,synthetic-v1,0.238,0.460,0.095,auto-generated; not a substitute for real recordings
syn_hesitation_0066,synthetic/syn_hesitation_0066.wav,hesitation,synthetic,synthetic-v1,0.149,0.506,0.224,auto-generated; not a substitute for real recordings
syn_hesitation_0067,synthetic/syn_hesitation_0067.wav,hesitation,synthetic,synthetic-v1,0.197,0.569,0.417,auto-generated; not a substitute for real recordings
syn_hesitation_0068,synthetic/syn_hesitation_0068.wav,hesitation,synthetic,synthetic-v1,0.134,0.573,0.109,auto-generated; not a substitute for real recordings
syn_hesitation_0069,synthetic/syn_hesitation_0069.wav,hesitation,synthetic,synthetic-v1,0.002,0.448,0.311,auto-generated; not a substitute for real recordings
syn_hesitation_0070,synthetic/syn_hesitation_0070.wav,hesitation,synthetic,synthetic-v1,0.285,0.305,0.209,auto-generated; not a substitute for real recordings
syn_hesitation_0071,synthetic/syn_hesitation_0071.wav,hesitation,synthetic,synthetic-v1,0.016,0.174,0.415,auto-generated; not a substitute for real recordings
syn_hesitation_0072,synthetic/syn_hesitation_0072.wav,hesitation,synthetic,synthetic-v1,0.126,0.163,0.349,auto-generated; not a substitute for real recordings
syn_hesitation_0073,synthetic/syn_hesitation_0073.wav,hesitation,synthetic,synthetic-v1,0.056,0.547,0.248,auto-generated; not a substitute for real recordings
syn_hesitation_0074,synthetic/syn_hesitation_0074.wav,hesitation,synthetic,synthetic-v1,0.034,0.131,0.463,auto-generated; not a substitute for real recordings
syn_hesitation_0075,synthetic/syn_hesitation_0075.wav,hesitation,synthetic,synthetic-v1,0.270,0.586,0.101,auto-generated; not a substitute for real recordings
syn_hesitation_0076,synthetic/syn_hesitation_0076.wav,hesitation,synthetic,synthetic-v1,0.112,0.547,0.100,auto-generated; not a substitute for real recordings
syn_hesitation_0077,synthetic/syn_hesitation_0077.wav,hesitation,synthetic,synthetic-v1,0.185,0.590,0.293,auto-generated; not a substitute for real recordings
syn_hesitation_0078,synthetic/syn_hesitation_0078.wav,hesitation,synthetic,synthetic-v1,0.068,0.201,0.056,auto-generated; not a substitute for real recordings
syn_hesitation_0079,synthetic/syn_hesitation_0079.wav,hesitation,synthetic,synthetic-v1,0.130,0.562,0.200,auto-generated; not a substitute for real recordings
syn_hesitation_0080,synthetic/syn_hesitation_0080.wav,hesitation,synthetic,synthetic-v1,0.262,0.546,0.091,auto-generated; not a substitute for real recordings
syn_interrupt_0081,synthetic/syn_interrupt_0081.wav,interrupt,synthetic,synthetic-v1,0.037,0.584,0.236,auto-generated; not a substitute for real recordings
syn_interrupt_0082,synthetic/syn_interrupt_0082.wav,interrupt,synthetic,synthetic-v1,0.053,0.434,0.104,auto-generated; not a substitute for real recordings
syn_interrupt_0083,synthetic/syn_interrupt_0083.wav,interrupt,synthetic,synthetic-v1,0.278,0.422,0.254,auto-generated; not a substitute for real recordings
syn_interrupt_0084,synthetic/syn_interrupt_0084.wav,interrupt,synthetic,synthetic-v1,0.125,0.121,0.405,auto-generated; not a substitute for real recordings
syn_interrupt_0085,synthetic/syn_interrupt_0085.wav,interrupt,synthetic,synthetic-v1,0.184,0.326,0.465,auto-generated; not a substitute for real recordings
syn_interrupt_0086,synthetic/syn_interrupt_0086.wav,interrupt,synthetic,synthetic-v1,0.077,0.394,0.248,auto-generated; not a substitute for real recordings
syn_interrupt_0087,synthetic/syn_interrupt_0087.wav,interrupt,synthetic,synthetic-v1,0.179,0.127,0.216,auto-generated; not a substitute for real recordings
syn_interrupt_0088,synthetic/syn_interrupt_0088.wav,interrupt,synthetic,synthetic-v1,0.196,0.322,0.084,auto-generated; not a substitute for real recordings
syn_interrupt_0089,synthetic/syn_interrupt_0089.wav,interrupt,synthetic,synthetic-v1,0.134,0.158,0.286,auto-generated; not a substitute for real recordings
syn_interrupt_0090,synthetic/syn_interrupt_0090.wav,interrupt,synthetic,synthetic-v1,0.026,0.493,0.069,auto-generated; not a substitute for real recordings
syn_interrupt_0091,synthetic/syn_interrupt_0091.wav,interrupt,synthetic,synthetic-v1,0.277,0.367,0.367,auto-generated; not a substitute for real recordings
syn_interrupt_0092,synthetic/syn_interrupt_0092.wav,interrupt,synthetic,synthetic-v1,0.074,0.117,0.384,auto-generated; not a substitute for real recordings
syn_interrupt_0093,synthetic/syn_interrupt_0093.wav,interrupt,synthetic,synthetic-v1,0.187,0.472,0.147,auto-generated; not a substitute for real recordings
syn_interrupt_0094,synthetic/syn_interrupt_0094.wav,interrupt,synthetic,synthetic-v1,0.212,0.474,0.040,auto-generated; not a substitute for real recordings
syn_interrupt_0095,synthetic/syn_interrupt_0095.wav,interrupt,synthetic,synthetic-v1,0.009,0.306,0.200,auto-generated; not a substitute for real recordings
syn_interrupt_0096,synthetic/syn_interrupt_0096.wav,interrupt,synthetic,synthetic-v1,0.246,0.268,0.043,auto-generated; not a substitute for real recordings
syn_interrupt_0097,synthetic/syn_interrupt_0097.wav,interrupt,synthetic,synthetic-v1,0.159,0.186,0.370,auto-generated; not a substitute for real recordings
syn_interrupt_0098,synthetic/syn_interrupt_0098.wav,interrupt,synthetic,synthetic-v1,0.270,0.495,0.375,auto-generated; not a substitute for real recordings
syn_interrupt_0099,synthetic/syn_interrupt_0099.wav,interrupt,synthetic,synthetic-v1,0.068,0.176,0.124,auto-generated; not a substitute for real recordings
syn_interrupt_0100,synthetic/syn_interrupt_0100.wav,interrupt,synthetic,synthetic-v1,0.270,0.109,0.293,auto-generated; not a substitute for real recordings
syn_interrupt_0101,synthetic/syn_interrupt_0101.wav,interrupt,synthetic,synthetic-v1,0.084,0.309,0.397,auto-generated; not a substitute for real recordings
syn_interrupt_0102,synthetic/syn_interrupt_0102.wav,interrupt,synthetic,synthetic-v1,0.161,0.430,0.382,auto-generated; not a substitute for real recordings
syn_interrupt_0103,synthetic/syn_interrupt_0103.wav,interrupt,synthetic,synthetic-v1,0.223,0.201,0.259,auto-generated; not a substitute for real recordings
syn_interrupt_0104,synthetic/syn_interrupt_0104.wav,interrupt,synthetic,synthetic-v1,0.126,0.530,0.132,auto-generated; not a substitute for real recordings
syn_interrupt_0105,synthetic/syn_interrupt_0105.wav,interrupt,synthetic,synthetic-v1,0.198,0.422,0.228,auto-generated; not a substitute for real recordings
syn_interrupt_0106,synthetic/syn_interrupt_0106.wav,interrupt,synthetic,synthetic-v1,0.195,0.430,0.189,auto-generated; not a substitute for real recordings
syn_interrupt_0107,synthetic/syn_interrupt_0107.wav,interrupt,synthetic,synthetic-v1,0.268,0.488,0.381,auto-generated; not a substitute for real recordings
syn_interrupt_0108,synthetic/syn_interrupt_0108.wav,interrupt,synthetic,synthetic-v1,0.184,0.260,0.243,auto-generated; not a substitute for real recordings
syn_interrupt_0109,synthetic/syn_interrupt_0109.wav,interrupt,synthetic,synthetic-v1,0.166,0.176,0.108,auto-generated; not a substitute for real recordings
syn_interrupt_0110,synthetic/syn_interrupt_0110.wav,interrupt,synthetic,synthetic-v1,0.014,0.481,0.485,auto-generated; not a substitute for real recordings
syn_interrupt_0111,synthetic/syn_interrupt_0111.wav,interrupt,synthetic,synthetic-v1,0.140,0.108,0.349,auto-generated; not a substitute for real recordings
syn_interrupt_0112,synthetic/syn_interrupt_0112.wav,interrupt,synthetic,synthetic-v1,0.079,0.346,0.115,auto-generated; not a substitute for real recordings
syn_interrupt_0113,synthetic/syn_interrupt_0113.wav,interrupt,synthetic,synthetic-v1,0.299,0.499,0.304,auto-generated; not a substitute for real recordings
syn_interrupt_0114,synthetic/syn_interrupt_0114.wav,interrupt,synthetic,synthetic-v1,0.085,0.281,0.041,auto-generated; not a substitute for real recordings
syn_interrupt_0115,synthetic/syn_interrupt_0115.wav,interrupt,synthetic,synthetic-v1,0.249,0.154,0.220,auto-generated; not a substitute for real recordings
syn_interrupt_0116,synthetic/syn_interrupt_0116.wav,interrupt,synthetic,synthetic-v1,0.202,0.228,0.266,auto-generated; not a substitute for real recordings
syn_interrupt_0117,synthetic/syn_interrupt_0117.wav,interrupt,synthetic,synthetic-v1,0.184,0.356,0.224,auto-generated; not a substitute for real recordings
syn_interrupt_0118,synthetic/syn_interrupt_0118.wav,interrupt,synthetic,synthetic-v1,0.156,0.218,0.070,auto-generated; not a substitute for real recordings
syn_interrupt_0119,synthetic/syn_interrupt_0119.wav,interrupt,synthetic,synthetic-v1,0.021,0.366,0.472,auto-generated; not a substitute for real recordings
syn_interrupt_0120,synthetic/syn_interrupt_0120.wav,interrupt,synthetic,synthetic-v1,0.080,0.524,0.301,auto-generated; not a substitute for real recordings
syn_noise_0121,synthetic/syn_noise_0121.wav,noise,synthetic,synthetic-v1,0.110,0.337,0.333,auto-generated; not a substitute for real recordings
syn_noise_0122,synthetic/syn_noise_0122.wav,noise,synthetic,synthetic-v1,0.272,0.147,0.387,auto-generated; not a substitute for real recordings
syn_noise_0123,synthetic/syn_noise_0123.wav,noise,synthetic,synthetic-v1,0.293,0.581,0.007,auto-generated; not a substitute for real recordings
syn_noise_0124,synthetic/syn_noise_0124.wav,noise,synthetic,synthetic-v1,0.082,0.160,0.036,auto-generated; not a substitute for real recordings
syn_noise_0125,synthetic/syn_noise_0125.wav,noise,synthetic,synthetic-v1,0.235,0.398,0.043,auto-generated; not a substitute for real recordings
syn_noise_0126,synthetic/syn_noise_0126.wav,noise,synthetic,synthetic-v1,0.196,0.315,0.370,auto-generated; not a substitute for real recordings
syn_noise_0127,synthetic/syn_noise_0127.wav,noise,synthetic,synthetic-v1,0.036,0.331,0.277,auto-generated; not a substitute for real recordings
syn_noise_0128,synthetic/syn_noise_0128.wav,noise,synthetic,synthetic-v1,0.216,0.347,0.207,auto-generated; not a substitute for real recordings
syn_noise_0129,synthetic/syn_noise_0129.wav,noise,synthetic,synthetic-v1,0.080,0.238,0.009,auto-generated; not a substitute for real recordings
syn_noise_0130,synthetic/syn_noise_0130.wav,noise,synthetic,synthetic-v1,0.199,0.203,0.158,auto-generated; not a substitute for real recordings
syn_noise_0131,synthetic/syn_noise_0131.wav,noise,synthetic,synthetic-v1,0.090,0.388,0.106,auto-generated; not a substitute for real recordings
syn_noise_0132,synthetic/syn_noise_0132.wav,noise,synthetic,synthetic-v1,0.065,0.323,0.324,auto-generated; not a substitute for real recordings
syn_noise_0133,synthetic/syn_noise_0133.wav,noise,synthetic,synthetic-v1,0.218,0.378,0.495,auto-generated; not a substitute for real recordings
syn_noise_0134,synthetic/syn_noise_0134.wav,noise,synthetic,synthetic-v1,0.171,0.349,0.095,auto-generated; not a substitute for real recordings
syn_noise_0135,synthetic/syn_noise_0135.wav,noise,synthetic,synthetic-v1,0.009,0.388,0.483,auto-generated; not a substitute for real recordings
syn_noise_0136,synthetic/syn_noise_0136.wav,noise,synthetic,synthetic-v1,0.282,0.385,0.440,auto-generated; not a substitute for real recordings
syn_noise_0137,synthetic/syn_noise_0137.wav,noise,synthetic,synthetic-v1,0.042,0.388,0.482,auto-generated; not a substitute for real recordings
syn_noise_0138,synthetic/syn_noise_0138.wav,noise,synthetic,synthetic-v1,0.208,0.133,0.401,auto-generated; not a substitute for real recordings
syn_noise_0139,synthetic/syn_noise_0139.wav,noise,synthetic,synthetic-v1,0.115,0.382,0.432,auto-generated; not a substitute for real recordings
syn_noise_0140,synthetic/syn_noise_0140.wav,noise,synthetic,synthetic-v1,0.252,0.591,0.025,auto-generated; not a substitute for real recordings
syn_noise_0141,synthetic/syn_noise_0141.wav,noise,synthetic,synthetic-v1,0.018,0.412,0.384,auto-generated; not a substitute for real recordings
syn_noise_0142,synthetic/syn_noise_0142.wav,noise,synthetic,synthetic-v1,0.151,0.347,0.370,auto-generated; not a substitute for real recordings
syn_noise_0143,synthetic/syn_noise_0143.wav,noise,synthetic,synthetic-v1,0.212,0.222,0.224,auto-generated; not a substitute for real recordings
syn_noise_0144,synthetic/syn_noise_0144.wav,noise,synthetic,synthetic-v1,0.166,0.260,0.306,auto-generated; not a substitute for real recordings
syn_noise_0145,synthetic/syn_noise_0145.wav,noise,synthetic,synthetic-v1,0.223,0.355,0.113,auto-generated; not a substitute for real recordings
syn_noise_0146,synthetic/syn_noise_0146.wav,noise,synthetic,synthetic-v1,0.036,0.263,0.059,auto-generated; not a substitute for real recordings
syn_noise_0147,synthetic/syn_noise_0147.wav,noise,synthetic,synthetic-v1,0.012,0.101,0.153,auto-generated; not a substitute for real recordings
syn_noise_0148,synthetic/syn_noise_0148.wav,noise,synthetic,synthetic-v1,0.109,0.303,0.314,auto-generated; not a substitute for real recordings
syn_noise_0149,synthetic/syn_noise_0149.wav,noise,synthetic,synthetic-v1,0.122,0.343,0.499,auto-generated; not a substitute for real recordings
syn_noise_0150,synthetic/syn_noise_0150.wav,noise,synthetic,synthetic-v1,0.025,0.532,0.221,auto-generated; not a substitute for real recordings
syn_noise_0151,synthetic/syn_noise_0151.wav,noise,synthetic,synthetic-v1,0.135,0.501,0.486,auto-generated; not a substitute for real recordings
syn_noise_0152,synthetic/syn_noise_0152.wav,noise,synthetic,synthetic-v1,0.241,0.576,0.311,auto-generated; not a substitute for real recordings
syn_noise_0153,synthetic/syn_noise_0153.wav,noise,synthetic,synthetic-v1,0.074,0.261,0.208,auto-generated; not a substitute for real recordings
syn_noise_0154,synthetic/syn_noise_0154.wav,noise,synthetic,synthetic-v1,0.185,0.169,0.156,auto-generated; not a substitute for real recordings
syn_noise_0155,synthetic/syn_noise_0155.wav,noise,synthetic,synthetic-v1,0.088,0.250,0.079,auto-generated; not a substitute for real recordings
syn_noise_0156,synthetic/syn_noise_0156.wav,noise,synthetic,synthetic-v1,0.145,0.371,0.041,auto-generated; not a substitute for real recordings
syn_noise_0157,synthetic/syn_noise_0157.wav,noise,synthetic,synthetic-v1,0.227,0.140,0.007,auto-generated; not a substitute for real recordings
syn_noise_0158,synthetic/syn_noise_0158.wav,noise,synthetic,synthetic-v1,0.214,0.511,0.121,auto-generated; not a substitute for real recordings
syn_noise_0159,synthetic/syn_noise_0159.wav,noise,synthetic,synthetic-v1,0.212,0.312,0.115,auto-generated; not a substitute for real recordings
syn_noise_0160,synthetic/syn_noise_0160.wav,noise,synthetic,synthetic-v1,0.141,0.173,0.289,auto-generated; not a substitute for real recordings
syn_continue_0161,synthetic/syn_continue_0161.wav,continue,synthetic,synthetic-v1,0.000,0.104,0.178,auto-generated; not a substitute for real recordings
syn_continue_0162,synthetic/syn_continue_0162.wav,continue,synthetic,synthetic-v1,0.000,0.388,0.331,auto-generated; not a substitute for real recordings
syn_continue_0163,synthetic/syn_continue_0163.wav,continue,synthetic,synthetic-v1,0.000,0.106,0.129,auto-generated; not a substitute for real recordings
syn_continue_0164,synthetic/syn_continue_0164.wav,continue,synthetic,synthetic-v1,0.000,0.400,0.332,auto-generated; not a substitute for real recordings
syn_continue_0165,synthetic/syn_continue_0165.wav,continue,synthetic,synthetic-v1,0.000,0.226,0.218,auto-generated; not a substitute for real recordings
syn_continue_0166,synthetic/syn_continue_0166.wav,continue,synthetic,synthetic-v1,0.000,0.221,0.289,auto-generated; not a substitute for real recordings
syn_continue_0167,synthetic/syn_continue_0167.wav,continue,synthetic,synthetic-v1,0.000,0.394,0.109,auto-generated; not a substitute for real recordings
syn_continue_0168,synthetic/syn_continue_0168.wav,continue,synthetic,synthetic-v1,0.000,0.143,0.206,auto-generated; not a substitute for real recordings
syn_continue_0169,synthetic/syn_continue_0169.wav,continue,synthetic,synthetic-v1,0.000,0.212,0.238,auto-generated; not a substitute for real recordings
syn_continue_0170,synthetic/syn_continue_0170.wav,continue,synthetic,synthetic-v1,0.000,0.379,0.492,auto-generated; not a substitute for real recordings
syn_continue_0171,synthetic/syn_continue_0171.wav,continue,synthetic,synthetic-v1,0.000,0.196,0.146,auto-generated; not a substitute for real recordings
syn_continue_0172,synthetic/syn_continue_0172.wav,continue,synthetic,synthetic-v1,0.000,0.219,0.019,auto-generated; not a substitute for real recordings
syn_continue_0173,synthetic/syn_continue_0173.wav,continue,synthetic,synthetic-v1,0.000,0.167,0.147,auto-generated; not a substitute for real recordings
syn_continue_0174,synthetic/syn_continue_0174.wav,continue,synthetic,synthetic-v1,0.000,0.168,0.265,auto-generated; not a substitute for real recordings
syn_continue_0175,synthetic/syn_continue_0175.wav,continue,synthetic,synthetic-v1,0.000,0.384,0.127,auto-generated; not a substitute for real recordings
syn_continue_0176,synthetic/syn_continue_0176.wav,continue,synthetic,synthetic-v1,0.000,0.278,0.045,auto-generated; not a substitute for real recordings
syn_continue_0177,synthetic/syn_continue_0177.wav,continue,synthetic,synthetic-v1,0.000,0.324,0.182,auto-generated; not a substitute for real recordings
syn_continue_0178,synthetic/syn_continue_0178.wav,continue,synthetic,synthetic-v1,0.000,0.188,0.251,auto-generated; not a substitute for real recordings
syn_continue_0179,synthetic/syn_continue_0179.wav,continue,synthetic,synthetic-v1,0.000,0.206,0.300,auto-generated; not a substitute for real recordings
syn_continue_0180,synthetic/syn_continue_0180.wav,continue,synthetic,synthetic-v1,0.000,0.139,0.099,auto-generated; not a substitute for real recordings
syn_continue_0181,synthetic/syn_continue_0181.wav,continue,synthetic,synthetic-v1,0.000,0.365,0.405,auto-generated; not a substitute for real recordings
syn_continue_0182,synthetic/syn_continue_0182.wav,continue,synthetic,synthetic-v1,0.000,0.248,0.270,auto-generated; not a substitute for real recordings
syn_continue_0183,synthetic/syn_continue_0183.wav,continue,synthetic,synthetic-v1,0.000,0.345,0.315,auto-generated; not a substitute for real recordings
syn_continue_0184,synthetic/syn_continue_0184.wav,continue,synthetic,synthetic-v1,0.000,0.302,0.499,auto-generated; not a substitute for real recordings
syn_continue_0185,synthetic/syn_continue_0185.wav,continue,synthetic,synthetic-v1,0.000,0.309,0.431,auto-generated; not a substitute for real recordings
